,Unnamed: 0,French,English
0,0,partie,part
1,1,histoire,history
2,2,chercher,search
3,3,seulement,only
4,4,police,police
5,5,pensais,thought
6,6,aide,help
7,7,mois,month
8,8,frère,brother
9,9,laisser,let
10,10,car,because
11,11,mettre,to put
12,12,aucun,no
13,13,laisse,leash
14,14,ville,city
15,15,chaque,each
16,16,arrivé,come
17,17,devrait,should
18,18,bébé,baby
19,19,longtemps,long time
20,20,heures,hours
21,21,vont,will
22,22,pendant,while
23,23,revoir,meet again
24,24,aucune,any
25,25,parle,speak
26,26,compris,understood
27,27,savais,knew
28,28,étaient,were
29,29,attention,Warning
30,30,voici,here is
31,31,pourrais,could
32,32,affaire,case
33,33,donner,give
34,34,type,type
35,35,leurs,their
36,36,donné,given
37,37,endroit,place
38,38,yeux,eyes
39,39,écoute,listen
40,40,dont,whose
41,41,trouve,find
42,42,premier,first
43,43,perdu,lost
44,44,main,hand
45,45,première,first
46,46,côté,side
47,47,vieux,old
48,48,tiens,here
49,49,matin,morning
50,50,tellement,so much
51,51,enfant,child
52,53,suite,after
53,54,pardon,sorry
54,55,venez,come
55,56,devant,in front of
56,57,minutes,minutes
57,58,demandé,request
58,59,chambre,bedroom
59,60,mis,placed
60,61,belle,beautiful
61,62,droit,law
62,63,aimerais,would like to
63,64,aujourd'hui,today
64,66,eau,water
65,67,attendez,Wait
66,68,nouvelle,new
67,69,boulot,job
68,70,arrêter,Stop
69,72,compte,account
70,73,donne,given
71,74,loin,far
72,75,fin,end
73,76,croire,believe
74,77,aura,will have
75,78,filles,girls
76,79,bureau,office
